,country,power_distance,individualism,country_id
0,Argentina,49.0,46.0,10
1,Australia,36.0,90.0,13
2,Austria,11.0,55.0,12
3,Bangladesh,80.0,20.0,19
4,Belgium,65.0,75.0,20
5,Brazil,69.0,38.0,31
6,Bulgaria,70.0,30.0,22
7,Canada,39.0,80.0,38
8,Chile,63.0,23.0,46
9,China,80.0,20.0,48
10,Colombia,67.0,13.0,49
11,Costa Rica,35.0,15.0,50
12,Czechia,57.0,58.0,56
13,Denmark,18.0,74.0,59
14,Ecuador,78.0,8.0,63
15,Estonia,40.0,60.0,64
16,Finland,33.0,63.0,71
17,France,68.0,71.0,76
18,Germany,35.0,67.0,57
19,Great Britain,35.0,89.0,78
20,Greece,60.0,35.0,90
21,Guatemala,95.0,6.0,92
22,Hong Kong,68.0,25.0,96
23,Hungary,46.0,80.0,101
24,India,77.0,48.0,106
25,Indonesia,78.0,14.0,102
26,Ireland,28.0,70.0,103
27,Iran,58.0,41.0,109
28,Israel,13.0,54.0,104
29,Italy,50.0,76.0,111
30,Jamaica,45.0,39.0,113
31,Japan,54.0,46.0,115
32,"Korea, Republic of",60.0,18.0,123
33,Luxemburg,40.0,60.0,135
34,Malaysia,104.0,26.0,159
35,Malta,56.0,59.0,154
36,Mexico,81.0,30.0,158
37,Morocco,70.0,46.0,138
38,Netherlands,38.0,80.0,167
39,New Zealand,22.0,79.0,172
40,Norway,31.0,69.0,168
41,Pakistan,55.0,14.0,179
42,Panama,95.0,11.0,174
43,Peru,64.0,16.0,175
44,Philippines,94.0,32.0,178
45,Poland,68.0,60.0,180
46,Portugal,63.0,27.0,185
47,Romania,90.0,30.0,190
48,Russia,93.0,39.0,192
49,Singapore,74.0,20.0,199
50,South Africa,49.0,65.0,248
51,Salvador,66.0,19.0,211
52,Slovakia,104.0,52.0,203
53,Spain,57.0,51.0,68
54,Surinam,85.0,47.0,208
55,Sweden,31.0,71.0,198
56,Switzerland,34.0,68.0,43
57,Taiwan,58.0,17.0,229
58,Thailand,64.0,20.0,219
59,Trinidad,47.0,16.0,227
60,Turkey,66.0,37.0,226
61,Uruguay,61.0,36.0,235
62,United States,40.0,91.0,234
63,Venezuela,81.0,12.0,239
64,Vietnam,70.0,20.0,242
