,country_id,age,self esteem,country,power_distance,individualism,count
2,10,23.862068965517242,26.885057471264368,Argentina,49.0,46.0,87
3,12,26.565656565656564,27.505050505050505,Austria,11.0,55.0,99
4,13,26.646315789473686,26.718736842105262,Australia,36.0,90.0,2375
7,19,25.26923076923077,26.807692307692307,Bangladesh,80.0,20.0,26
8,20,26.098837209302324,26.627906976744185,Belgium,65.0,75.0,172
9,22,24.958333333333332,27.135416666666668,Bulgaria,70.0,30.0,96
10,31,23.058666666666667,27.357333333333333,Brazil,69.0,38.0,375
11,38,27.114821124361157,26.715161839863715,Canada,39.0,80.0,2935
12,43,27.085106382978722,26.4822695035461,Switzerland,34.0,68.0,141
13,46,23.035087719298247,26.614035087719298,Chile,63.0,23.0,57
14,48,26.928571428571427,27.557142857142857,China,80.0,20.0,70
15,49,23.914893617021278,26.74468085106383,Colombia,67.0,13.0,47
16,50,23.958333333333332,26.666666666666668,Costa Rica,35.0,15.0,24
18,56,25.6375,27.1875,Czechia,57.0,58.0,80
19,57,27.11455108359133,26.606811145510836,Germany,35.0,67.0,646
20,59,25.677966101694917,26.870056497175142,Denmark,18.0,74.0,177
21,64,22.5,27.362068965517242,Estonia,40.0,60.0,58
23,68,27.74054054054054,27.037837837837838,Spain,57.0,51.0,185
26,71,22.976635514018692,26.7196261682243,Finland,33.0,63.0,428
27,76,27.41090909090909,27.196363636363635,France,68.0,71.0,275
28,78,28.163439891940566,26.478012907098904,Great Britain,35.0,89.0,6663
31,90,29.38993710691824,27.11320754716981,Greece,60.0,35.0,159
32,96,25.447115384615383,26.596153846153847,Hong Kong,68.0,25.0,208
34,101,27.0,27.14851485148515,Hungary,46.0,80.0,101
35,102,22.50920245398773,27.153374233128833,Indonesia,78.0,14.0,163
36,103,28.651551312649165,26.83054892601432,Ireland,28.0,70.0,419
37,104,25.8989898989899,27.22222222222222,Israel,13.0,54.0,99
38,106,26.016241299303946,27.155452436194896,India,77.0,48.0,1293
40,109,26.94871794871795,26.71794871794872,Iran,58.0,41.0,39
42,111,28.185303514376997,26.70926517571885,Italy,50.0,76.0,313
44,113,24.616161616161616,26.494949494949495,Jamaica,45.0,39.0,99
46,115,29.514285714285716,26.62857142857143,Japan,54.0,46.0,70
48,123,25.838709677419356,26.29032258064516,"Korea, Republic of",60.0,18.0,62
53,138,29.652173913043477,26.91304347826087,Morocco,70.0,46.0,23
55,154,24.102564102564102,26.487179487179485,Malta,56.0,59.0,39
56,158,24.4010989010989,26.74175824175824,Mexico,81.0,30.0,182
57,159,22.868894601542415,27.6426735218509,Malaysia,104.0,26.0,389
59,167,27.349056603773583,26.41194968553459,Netherlands,38.0,80.0,318
60,168,26.23008849557522,27.128318584070797,Norway,31.0,69.0,226
61,172,27.298283261802574,26.63948497854077,New Zealand,22.0,79.0,466
62,175,22.9,27.0,Peru,64.0,16.0,30
63,178,21.629493087557602,26.96036866359447,Philippines,94.0,32.0,1085
64,179,22.698305084745762,27.132203389830508,Pakistan,55.0,14.0,295
65,180,24.31779661016949,27.008474576271187,Poland,68.0,60.0,236
67,185,24.132911392405063,27.329113924050635,Portugal,63.0,27.0,158
69,190,24.622377622377623,27.272727272727273,Romania,90.0,30.0,286
71,192,25.452830188679247,27.18867924528302,Russia,93.0,39.0,106
73,198,28.293193717277486,27.356020942408378,Sweden,31.0,71.0,382
74,199,20.390781563126254,27.16633266533066,Singapore,74.0,20.0,499
76,203,25.660377358490567,26.69811320754717,Slovakia,104.0,52.0,53
77,219,29.25,26.553571428571427,Thailand,64.0,20.0,56
78,226,25.702290076335878,27.137404580152673,Turkey,66.0,37.0,131
79,227,25.458333333333332,26.3125,Trinidad,47.0,16.0,48
80,229,25.053571428571427,27.25,Taiwan,58.0,17.0,56
82,234,26.05194341559195,26.66058280155295,United States,40.0,91.0,22409
83,239,21.966666666666665,26.8,Venezuela,81.0,12.0,30
84,242,22.1,27.266666666666666,Vietnam,70.0,20.0,30
85,248,32.58983050847458,26.854237288135593,South Africa,49.0,65.0,295
