,country,age,overall_score,gender,country_id
0,US,40,29,M,234
1,US,36,26,M,234
2,US,22,27,F,234
3,US,31,28,M,234
4,EU,30,25,M,70
5,CA,25,25,F,38
6,US,32,31,M,234
7,US,51,22,M,234
8,US,37,25,M,234
9,US,41,23,F,234
10,US,42,31,M,234
11,SE,31,31,F,198
12,GB,31,26,F,78
13,US,27,24,M,234
14,GB,29,27,M,78
15,GB,18,26,M,78
16,NZ,19,32,F,172
17,CA,19,24,M,38
18,DE,28,29,M,57
19,AE,34,26,F,1
20,US,51,31,F,234
21,BE,22,27,F,20
22,GB,54,31,M,78
23,DE,27,29,M,57
24,US,26,31,M,234
25,GB,33,26,F,78
26,IN,0,33,M,106
27,IN,25,28,M,106
28,US,38,25,M,234
29,US,46,24,F,234
30,US,33,28,M,234
31,US,19,26,M,234
32,US,23,26,M,234
33,US,35,23,F,234
34,US,33,25,M,234
35,US,22,32,F,234
36,US,35,25,F,234
37,US,43,29,F,234
38,NZ,0,27,0,172
39,US,49,27,F,234
40,HU,25,27,M,101
41,GB,56,28,F,78
42,US,24,25,M,234
43,FR,36,29,M,76
44,BE,38,27,F,20
45,SG,26,27,M,199
46,US,0,23,F,234
47,US,29,25,M,234
48,US,66,25,M,234
49,MX,48,29,F,158
50,US,28,27,M,234
51,US,21,27,M,234
52,GB,32,26,M,78
53,PL,22,25,O,180
54,CA,54,28,M,38
55,CA,49,27,F,38
56,AU,54,29,M,13
57,CA,23,25,M,38
58,CA,22,29,F,38
59,AU,23,21,M,13
60,AL,21,26,F,5
61,US,29,28,M,234
62,BR,15,28,F,31
63,US,32,19,M,234
64,AE,40,26,M,1
65,DE,22,28,M,57
66,DE,22,26,M,57
67,RO,22,30,F,190
68,RO,22,27,M,190
69,PT,38,24,M,185
70,GB,34,25,F,78
71,AU,26,27,F,13
72,GB,40,26,F,78
73,GB,26,24,F,78
74,CA,29,28,M,38
75,US,28,25,F,234
76,US,45,25,M,234
77,US,20,23,M,234
78,AU,16,27,F,13
79,SE,30,23,M,198
80,NL,44,22,M,167
81,GB,40,27,M,78
82,GB,43,31,F,78
83,BE,39,28,F,20
84,ZA,31,26,M,248
85,MX,41,25,F,158
86,US,14,27,F,234
87,US,60,26,F,234
88,CA,39,28,F,38
89,AU,22,25,M,13
90,US,15,28,M,234
91,US,27,28,M,234
92,MY,27,29,F,159
93,US,20,28,M,234
94,GB,30,26,M,78
95,US,27,22,F,234
96,US,0,24,F,234
97,US,27,25,F,234
98,GB,44,28,M,78
99,CA,23,28,F,38
100,ID,21,24,F,102
102,US,16,27,F,234
103,MX,21,26,M,158
104,CN,21,26,F,48
105,GB,51,26,F,78
106,BR,35,23,F,31
107,DE,33,26,F,57
108,US,58,31,F,234
109,NL,41,29,M,167
110,US,21,26,F,234
111,US,19,26,M,234
112,US,66,25,F,234
113,US,39,27,M,234
114,GB,31,23,M,78
115,KR,27,29,F,123
116,PT,30,23,F,185
117,US,21,28,F,234
118,US,20,26,F,234
119,US,62,28,M,234
120,TR,18,27,M,226
121,US,19,25,F,234
122,US,35,28,F,234
123,BG,35,28,M,22
124,US,40,29,F,234
125,US,46,28,M,234
126,US,23,24,F,234
127,ES,14,28,F,68
128,GB,49,24,M,78
129,DE,51,24,F,57
130,US,20,28,M,234
131,US,23,29,M,234
132,NZ,21,26,M,172
133,IL,49,26,M,104
134,US,34,29,F,234
135,US,22,26,M,234
136,GB,33,23,M,78
137,PL,24,29,F,180
138,US,19,14,M,234
139,AU,55,27,F,13
140,MX,21,24,M,158
141,US,62,29,M,234
142,NL,23,25,F,167
143,NL,34,27,M,167
144,CA,39,26,F,38
145,US,45,35,M,234
146,US,41,28,F,234
147,US,20,26,F,234
148,US,29,29,F,234
149,PL,28,29,F,180
150,DE,39,25,F,57
151,ID,25,26,F,102
152,DE,29,23,M,57
153,IN,49,31,M,106
154,CA,22,26,M,38
155,US,45,25,F,234
156,GB,39,28,F,78
157,US,51,27,M,234
158,US,45,27,F,234
159,AU,43,27,F,13
160,US,33,29,F,234
161,US,46,26,F,234
162,CA,16,26,M,38
163,US,26,25,F,234
164,ZA,39,28,M,248
165,US,44,27,M,234
166,US,26,31,M,234
167,US,21,25,M,234
168,AU,23,26,M,13
169,US,41,27,M,234
170,HK,35,25,M,96
171,GB,20,25,M,78
172,US,18,28,F,234
173,US,42,24,F,234
174,AU,44,27,M,13
175,AU,44,28,M,13
176,AU,34,31,F,13
177,US,32,26,M,234
178,CA,61,28,M,38
179,GB,28,24,M,78
180,US,21,26,F,234
181,CA,27,30,F,38
182,US,39,37,M,234
183,US,39,27,M,234
184,DE,33,28,F,57
185,BE,41,29,M,20
186,US,54,26,F,234
187,US,44,26,F,234
188,GR,32,25,M,90
189,GB,27,29,M,78
190,US,13,25,F,234
191,PH,19,23,F,178
192,US,49,26,F,234
193,IN,26,25,M,106
194,US,21,26,M,234
195,US,53,33,M,234
196,US,37,24,M,234
197,ES,40,24,F,68
198,JP,51,26,F,115
199,US,40,19,M,234
200,SI,28,26,F,201
201,US,22,26,F,234
202,GB,29,25,F,78
203,US,17,27,F,234
204,HK,40,10,F,96
205,CA,21,25,F,38
206,US,26,25,F,234
207,US,38,29,M,234
208,HK,23,18,F,96
209,US,31,29,M,234
210,EU,54,31,M,70
211,CA,52,27,F,38
212,RO,25,28,F,190
213,US,20,22,F,234
214,US,59,26,F,234
215,CA,24,28,M,38
216,US,47,26,M,234
217,GB,44,25,F,78
218,US,42,25,M,234
219,GB,53,28,M,78
220,CA,22,25,F,38
221,PK,21,29,F,179
222,PK,12,29,M,179
223,PK,45,25,M,179
224,GB,21,30,F,78
225,US,24,25,M,234
226,US,14,21,F,234
227,US,14,23,F,234
228,US,25,23,F,234
230,CL,49,21,F,46
231,GB,25,24,M,78
232,US,18,30,M,234
233,US,27,28,F,234
234,US,34,26,F,234
235,SG,36,29,M,199
236,TR,20,25,M,226
237,US,43,30,F,234
238,AU,35,29,M,13
239,GB,23,26,F,78
240,IN,40,30,M,106
241,US,59,24,F,234
242,US,31,25,F,234
243,RU,29,28,M,192
244,HK,18,28,F,96
245,RO,40,24,F,190
246,NO,23,22,M,168
247,ES,19,25,M,68
248,FR,40,28,F,76
249,US,27,26,M,234
250,JE,21,27,F,112
251,JE,19,31,M,112
252,US,51,24,F,234
253,US,14,29,M,234
254,GH,24,26,F,83
255,NZ,18,29,F,172
256,GB,29,28,F,78
257,GB,19,30,F,78
258,US,21,26,M,234
259,DK,27,29,F,59
260,US,35,27,F,234
261,GB,28,27,M,78
262,AU,22,29,F,13
263,US,30,27,F,234
264,US,20,20,F,234
265,IN,17,30,M,106
266,GB,57,23,F,78
267,IL,16,25,F,104
268,US,22,24,F,234
269,GB,27,25,F,78
270,GB,19,24,M,78
271,GB,36,27,F,78
272,US,19,25,F,234
273,US,19,30,M,234
274,US,16,29,M,234
275,US,39,24,M,234
276,US,24,28,F,234
277,US,18,22,M,234
278,GB,42,29,F,78
279,IN,21,27,M,106
280,IN,24,29,F,106
281,IT,22,28,F,111
282,US,16,32,F,234
283,GB,21,25,M,78
284,US,21,30,M,234
285,US,21,30,M,234
286,GB,55,23,F,78
287,US,39,25,M,234
288,DE,37,23,F,57
289,US,59,30,F,234
290,US,20,30,F,234
291,US,39,23,M,234
292,US,25,27,M,234
294,NZ,36,25,F,172
295,US,42,29,F,234
296,AU,29,27,F,13
297,IN,22,27,F,106
298,US,19,28,F,234
299,IT,24,25,M,111
300,US,25,26,F,234
301,GB,47,29,M,78
302,CA,53,26,F,38
303,US,13,31,M,234
304,US,24,25,M,234
305,US,20,26,M,234
306,US,19,29,F,234
307,GB,46,30,M,78
308,FR,30,27,M,76
309,MY,30,32,M,159
310,US,60,29,M,234
311,GB,45,26,M,78
312,AU,44,27,M,13
313,BR,55,28,F,31
314,GB,50,24,F,78
315,GB,29,26,F,78
316,NZ,34,27,F,172
317,US,40,31,F,234
318,US,22,24,F,234
319,LT,23,29,F,134
320,IE,36,26,M,103
321,SG,17,30,F,199
322,CA,48,27,M,38
323,LV,22,31,M,136
324,MX,28,26,F,158
325,US,36,29,M,234
326,US,31,28,F,234
327,FR,33,30,M,76
328,US,58,26,F,234
329,IN,16,30,M,106
330,IN,17,30,M,106
331,GB,44,28,M,78
332,US,40,26,F,234
333,GB,16,29,F,78
334,GB,37,30,M,78
335,US,51,28,M,234
336,US,19,29,F,234
337,US,20,28,M,234
338,CA,21,23,M,38
339,US,24,25,F,234
340,US,29,30,F,234
341,US,23,24,F,234
342,GB,40,24,M,78
343,US,22,29,F,234
344,GB,40,22,F,78
345,US,58,30,M,234
346,US,20,29,F,234
347,DK,34,29,F,59
348,DK,34,25,F,59
349,US,35,29,M,234
350,CA,18,29,F,38
351,NZ,34,26,F,172
352,CA,28,32,F,38
353,US,20,26,M,234
354,ES,18,29,M,68
355,BR,28,32,M,31
356,IE,16,25,M,103
357,US,52,25,F,234
358,US,17,29,M,234
359,CA,51,27,F,38
360,ID,20,28,F,102
361,US,19,24,F,234
362,US,19,28,M,234
363,US,19,24,F,234
364,US,22,25,F,234
365,US,17,25,F,234
366,US,20,26,F,234
367,US,20,26,F,234
368,US,26,31,F,234
369,US,55,29,F,234
370,BA,30,28,F,17
371,GB,22,28,M,78
372,PL,18,27,F,180
373,US,60,23,M,234
374,ID,19,36,F,102
375,NO,35,25,M,168
376,GB,53,24,F,78
377,CA,19,29,F,38
378,US,21,25,F,234
379,US,15,28,F,234
380,IS,35,29,F,110
381,US,19,31,M,234
382,CA,17,25,M,38
383,IE,38,30,M,103
384,US,32,28,M,234
385,NO,22,23,M,168
386,GB,48,24,F,78
387,US,29,27,F,234
388,CA,25,23,M,38
389,GB,29,26,M,78
390,EU,38,26,M,70
391,CA,26,32,M,38
392,AU,22,30,M,13
393,CA,65,30,F,38
394,US,40,29,M,234
395,US,58,24,F,234
396,US,34,29,M,234
397,CA,32,25,M,38
398,FR,16,30,F,76
399,GB,13,28,F,78
400,CA,23,28,F,38
401,US,56,29,F,234
402,US,29,28,F,234
403,FI,24,27,M,71
404,US,52,26,M,234
405,US,21,26,M,234
406,IN,14,27,M,106
407,DE,38,26,F,57
